Date : 2025-07-27 21:48:20
Directory : c:\Users\kursa\source\repos\MİniERP2_form_siifirdan
Total : 318 files,  122662 codes, 12206 comments, 14458 blanks, all 149326 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\CustomerSupplierList.cshtml                                     | ASP.NET Razor |        236 |          0 |          5 |        241 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Delete.cshtml                                                   | ASP.NET Razor |        134 |          0 |          7 |        141 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Details.cshtml                                                  | ASP.NET Razor |        197 |          1 |         12 |        210 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Edit.cshtml                                                     | ASP.NET Razor |        156 |          0 |         11 |        167 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Index.cshtml                                                    | ASP.NET Razor |        303 |          0 |         10 |        313 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Statement.cshtml                                                | ASP.NET Razor |        236 |          0 |         12 |        248 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\CariAccount\Transactions.cshtml                                             | ASP.NET Razor |        221 |          0 |          7 |        228 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Dashboard\Index.cshtml                                                      | ASP.NET Razor |        364 |          0 |         17 |        381 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Home\Index.cshtml                                                           | ASP.NET Razor |          7 |          0 |          3 |         10 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Home\Privacy.cshtml                                                         | ASP.NET Razor |          5 |          0 |          3 |          8 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Product\Create.cshtml                                                       | ASP.NET Razor |        177 |          0 |         12 |        189 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Product\Details.cshtml                                                      | ASP.NET Razor |        172 |          0 |         10 |        182 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Product\Edit.cshtml                                                         | ASP.NET Razor |        191 |          0 |         13 |        204 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Product\Index.cshtml                                                        | ASP.NET Razor |        304 |          5 |         12 |        321 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\PurchaseInvoice\Create.cshtml                                               | ASP.NET Razor |        348 |          0 |         33 |        381 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\PurchaseInvoice\Delete.cshtml                                               | ASP.NET Razor |        252 |          0 |         18 |        270 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\PurchaseInvoice\Details.cshtml                                              | ASP.NET Razor |        317 |          0 |         19 |        336 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\PurchaseInvoice\Edit.cshtml                                                 | ASP.NET Razor |        221 |          1 |         10 |        232 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\PurchaseInvoice\Index.cshtml                                                | ASP.NET Razor |        324 |          0 |         15 |        339 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\SalesInvoice\Create.cshtml                                                  | ASP.NET Razor |        315 |          0 |         31 |        346 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\SalesInvoice\Delete.cshtml                                                  | ASP.NET Razor |        252 |          0 |         18 |        270 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\SalesInvoice\Details.cshtml                                                 | ASP.NET Razor |        317 |          0 |         19 |        336 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\SalesInvoice\Edit.cshtml                                                    | ASP.NET Razor |        403 |          1 |         31 |        435 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\SalesInvoice\Index.cshtml                                                   | ASP.NET Razor |        324 |          0 |         15 |        339 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Shared\Error.cshtml                                                         | ASP.NET Razor |         22 |          0 |          5 |         27 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Shared\_Layout.cshtml                                                       | ASP.NET Razor |        276 |          0 |         22 |        298 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Shared\_Layout.cshtml.css                                                   | PostCSS       |         38 |          2 |          9 |         49 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Shared\_ValidationScriptsPartial.cshtml                                     | ASP.NET Razor |          2 |          0 |          2 |          4 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Create.cshtml                                                         | ASP.NET Razor |        152 |          0 |         11 |        163 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Critical.cshtml                                                       | ASP.NET Razor |        176 |          0 |          6 |        182 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Delete.cshtml                                                         | ASP.NET Razor |        319 |          0 |         26 |        345 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Details.cshtml                                                        | ASP.NET Razor |        565 |          0 |         41 |        606 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Edit.cshtml                                                           | ASP.NET Razor |        327 |          0 |         24 |        351 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Index.cshtml                                                          | ASP.NET Razor |        369 |          5 |         15 |        389 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\OutOfStock.cshtml                                                     | ASP.NET Razor |        237 |          0 |          6 |        243 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Report.cshtml                                                         | ASP.NET Razor |        254 |          0 |         10 |        264 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Summary.cshtml                                                        | ASP.NET Razor |        201 |          0 |         10 |        211 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\TransactionDetails.cshtml                                             | ASP.NET Razor |        196 |          0 |         20 |        216 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Transactions.cshtml                                                   | ASP.NET Razor |        165 |          0 |          6 |        171 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\Transfer.cshtml                                                       | ASP.NET Razor |        206 |          0 |         14 |        220 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\Stock\UpdateStock.cshtml                                                    | ASP.NET Razor |        224 |          0 |         13 |        237 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\User\Create.cshtml                                                          | ASP.NET Razor |        236 |          0 |         23 |        259 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\User\Details.cshtml                                                         | ASP.NET Razor |        210 |          0 |         15 |        225 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\User\Edit.cshtml                                                            | ASP.NET Razor |        184 |          0 |         16 |        200 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\User\Index.cshtml                                                           | ASP.NET Razor |        164 |          0 |         11 |        175 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\_ViewImports.cshtml                                                         | ASP.NET Razor |          4 |          0 |          2 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\Views\_ViewStart.cshtml                                                           | ASP.NET Razor |          3 |          0 |          2 |          5 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\css\site.css                                                              | PostCSS       |        170 |         12 |         38 |        220 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\js\site.js                                                                | JavaScript    |          0 |          3 |          2 |          5 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.css                                 | PostCSS       |      3,886 |          6 |        193 |      4,085 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.min.css                             | PostCSS       |          1 |          5 |          0 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.css                             | PostCSS       |      3,886 |          6 |        192 |      4,084 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-grid.rtl.min.css                         | PostCSS       |          1 |          5 |          0 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.css                               | PostCSS       |        518 |         14 |         65 |        597 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.min.css                           | PostCSS       |          1 |          5 |          0 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.css                           | PostCSS       |        524 |          6 |         64 |        594 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-reboot.rtl.min.css                       | PostCSS       |          1 |          5 |          0 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.css                            | PostCSS       |      4,891 |          8 |        503 |      5,402 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.min.css                        | PostCSS       |          1 |          5 |          0 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.css                        | PostCSS       |      4,887 |          6 |        500 |      5,393 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap-utilities.rtl.min.css                    | PostCSS       |          1 |          5 |          0 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap.css                                      | PostCSS       |     11,136 |         24 |        897 |     12,057 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap.min.css                                  | PostCSS       |          5 |          1 |          0 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.css                                  | PostCSS       |     11,138 |          6 |        886 |     12,030 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.min.css                              | PostCSS       |          5 |          1 |          0 |          6 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js                                 | JavaScript    |      5,064 |        655 |        596 |      6,315 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js                             | JavaScript    |          1 |          6 |          0 |          7 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.js                                    | JavaScript    |      3,568 |        578 |        302 |      4,448 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.min.js                                | JavaScript    |          1 |          6 |          0 |          7 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.js                                        | JavaScript    |      3,604 |        584 |        307 |      4,495 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js                                    | JavaScript    |          1 |          6 |          0 |          7 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery-validation-unobtrusive\dist\jquery.validate.unobtrusive.js     | JavaScript    |        306 |         76 |         54 |        436 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery-validation-unobtrusive\dist\jquery.validate.unobtrusive.min.js | JavaScript    |          1 |          7 |          0 |          8 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery-validation\LICENSE.md                                          | Markdown      |         18 |          0 |          5 |         23 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery-validation\dist\additional-methods.js                          | JavaScript    |      1,106 |        258 |        141 |      1,505 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery-validation\dist\additional-methods.min.js                      | JavaScript    |          1 |          3 |          0 |          4 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery-validation\dist\jquery.validate.js                             | JavaScript    |      1,265 |        188 |        250 |      1,703 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery-validation\dist\jquery.validate.min.js                         | JavaScript    |          1 |          3 |          0 |          4 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery\dist\jquery.js                                                 | JavaScript    |      6,767 |      1,887 |      2,063 |     10,717 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery\dist\jquery.min.js                                             | JavaScript    |          1 |          1 |          1 |          3 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery\dist\jquery.slim.js                                            | JavaScript    |      5,381 |      1,558 |      1,679 |      8,618 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.Web\wwwroot\lib\jquery\dist\jquery.slim.min.js                                        | JavaScript    |          1 |          1 |          1 |          3 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\CariAccountDto.cs                                                       | C#            |        115 |          0 |         16 |        131 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\CommonDto.cs                                                            | C#            |         47 |          0 |          8 |         55 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\DashboardDto.cs                                                         | C#            |         22 |          0 |          2 |         24 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\ProductDto.cs                                                           | C#            |         92 |          0 |         11 |        103 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\PurchaseInvoiceDto.cs                                                   | C#            |         84 |          2 |          9 |         95 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\SalesInvoiceDto.cs                                                      | C#            |         86 |          0 |         10 |         96 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\StockDto.cs                                                             | C#            |        130 |          0 |         13 |        143 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\StockInfoDto.cs                                                         | C#            |          0 |          0 |          1 |          1 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\UpdateStockDto.cs                                                       | C#            |         13 |          0 |          1 |         14 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\UserDto.cs                                                              | C#            |         64 |          1 |         10 |         75 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\DTOs\WarehouseDto.cs                                                         | C#            |         27 |          0 |          5 |         32 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaDetayForm.Designer.cs                                        | C#            |        621 |        146 |          9 |        776 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaDetayForm.cs                                                 | C#            |        308 |         35 |         52 |        395 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaDuzenleForm.Designer.cs                                      | C#            |        452 |        116 |          9 |        577 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaDuzenleForm.cs                                               | C#            |        614 |         49 |        100 |        763 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaSilForm.Designer.cs                                          | C#            |        463 |        113 |          8 |        584 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturaSilForm.cs                                                   | C#            |        213 |         10 |         34 |        257 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturalariForm.Designer.cs                                         | C#            |        412 |        104 |          9 |        525 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturalariForm.cs                                                  | C#            |        421 |         24 |         63 |        508 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturasiEkleForm.Designer.cs                                       | C#            |        442 |        111 |          9 |        562 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\AlisFaturasiEkleForm.cs                                                | C#            |        516 |         45 |         86 |        647 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\BaseForm.cs                                                            | C#            |          0 |          0 |          1 |          1 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariDetayForm.Designer.cs                                              | C#            |        509 |        149 |          8 |        666 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariDetayForm.cs                                                       | C#            |        181 |         17 |         27 |        225 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariDuzenleForm.Designer.cs                                            | C#            |        339 |        104 |          8 |        451 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariDuzenleForm.cs                                                     | C#            |        212 |         13 |         28 |        253 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariEkleForm.Designer.cs                                               | C#            |        360 |        107 |          8 |        475 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariEkleForm.cs                                                        | C#            |        243 |         13 |         52 |        308 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariEkstreForm.Designer.cs                                             | C#            |        557 |        158 |          8 |        723 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariEkstreForm.cs                                                      | C#            |        216 |         23 |         33 |        272 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHareketleriForm.Designer.cs                                        | C#            |        286 |         83 |          8 |        377 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHareketleriForm.cs                                                 | C#            |        176 |         19 |         28 |        223 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHesaplarForm.Designer.cs                                           | C#            |        371 |        101 |          8 |        480 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHesaplarForm.cs                                                    | C#            |        567 |         37 |         86 |        690 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHesaplarFormNew.cs                                                 | C#            |          0 |          0 |          1 |          1 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariHesaplarFormYeni.cs                                                | C#            |          0 |          0 |          1 |          1 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariSilForm.Designer.cs                                                | C#            |        400 |        110 |          9 |        519 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\CariSilForm.cs                                                         | C#            |        173 |         10 |         25 |        208 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\KullaniciDetayForm.Designer.cs                                         | C#            |        290 |         80 |          6 |        376 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\KullaniciDetayForm.cs                                                  | C#            |        128 |          6 |         19 |        153 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\KullaniciDuzenleForm.Designer.cs                                       | C#            |        300 |         86 |          7 |        393 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\KullaniciDuzenleForm.cs                                                | C#            |        183 |          4 |         20 |        207 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\KullaniciEkleForm.Designer.cs                                          | C#            |        288 |         83 |          6 |        377 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\KullaniciEkleForm.cs                                                   | C#            |        204 |         11 |         29 |        244 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\KullaniciYonetimiForm.Designer.cs                                      | C#            |        273 |         65 |          6 |        344 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\KullaniciYonetimiForm.cs                                               | C#            |        415 |         20 |         66 |        501 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\LoginForm.Designer.cs                                                  | C#            |        292 |         77 |          8 |        377 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\LoginForm.cs                                                           | C#            |        131 |          6 |         24 |        161 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\MainForm.Designer.cs                                                   | C#            |        388 |        101 |          8 |        497 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\MainForm.cs                                                            | C#            |        564 |         27 |         79 |        670 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturaDetayForm.Designer.cs                                       | C#            |        603 |        143 |          9 |        755 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturaDetayForm.cs                                                | C#            |        371 |         41 |         64 |        476 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturalariForm.Designer.cs                                        | C#            |        399 |        104 |          9 |        512 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturalariForm.cs                                                 | C#            |        510 |         30 |         75 |        615 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturasiEkleForm.Designer.cs                                      | C#            |        460 |        119 |          9 |        588 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturasiEkleForm.cs                                               | C#            |        517 |         32 |         74 |        623 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturasiEkleFormNew.cs                                            | C#            |          0 |          0 |          1 |          1 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturasiSilForm.Designer.cs                                       | C#            |        614 |        128 |          9 |        751 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\SatisFaturasiSilForm.cs                                                | C#            |        191 |          9 |         28 |        228 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokDetayForm.Designer.cs                                              | C#            |        718 |        174 |          6 |        898 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokDetayForm.cs                                                       | C#            |        265 |         27 |         47 |        339 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokGuncelleForm.Designer.cs                                           | C#            |        285 |         72 |          9 |        366 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokGuncelleForm.cs                                                    | C#            |        154 |          2 |         20 |        176 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokGuncellemeForm.Designer.cs                                         | C#            |        454 |        104 |          9 |        567 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokGuncellemeForm.cs                                                  | C#            |        349 |         27 |         66 |        442 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokKartiDuzenleForm.Designer.cs                                       | C#            |        344 |        107 |          6 |        457 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokKartiDuzenleForm.cs                                                | C#            |        133 |          7 |         24 |        164 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokKartiEkleForm.Designer.cs                                          | C#            |        331 |         84 |          8 |        423 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokKartiEkleForm.cs                                                   | C#            |        162 |          4 |         26 |        192 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokKartiEkleFormNew.Designer.cs                                       | C#            |        347 |         90 |          9 |        446 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokKartiEkleFormNew.cs                                                | C#            |        190 |          9 |         30 |        229 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokPlaceholderForms.Designer.cs                                       | C#            |          0 |        492 |          2 |        494 |
| c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokPlaceholderForms.cs                                                | C#            |          0 |        211 |          2 |        213 |
